ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C)
2019-12-07T15:10:36.000,8.57,92.55,19.10
2019-12-07T15:10:46.000,8.57,92.57,19.10
2019-12-07T15:10:56.000,8.57,92.57,19.10
2019-12-07T15:11:06.000,8.57,92.60,19.10
2019-12-07T15:11:16.000,8.57,92.54,19.10
2019-12-07T15:11:26.000,8.58,92.66,19.10
2019-12-07T15:11:36.000,8.58,92.64,19.10
2019-12-07T15:11:46.000,8.58,92.68,19.10
2019-12-07T15:11:56.000,8.57,92.64,19.10
2019-12-07T15:12:06.000,8.56,92.49,19.10
2019-12-07T15:12:16.000,8.58,92.67,19.10
2019-12-07T15:12:26.000,8.58,92.74,19.11
2019-12-07T15:12:36.000,8.59,92.80,19.11
2019-12-07T15:12:46.000,8.58,92.69,19.11
2019-12-07T15:12:56.000,8.58,92.72,19.11
2019-12-07T15:13:06.000,8.57,92.64,19.11
2019-12-07T15:13:16.000,8.59,92.78,19.11
2019-12-07T15:13:26.000,8.57,92.60,19.12
2019-12-07T15:13:36.000,8.57,92.66,19.12
2019-12-07T15:13:46.000,8.57,92.60,19.13
2019-12-07T15:13:56.000,8.58,92.70,19.13
2019-12-07T15:14:06.000,8.57,92.58,19.13
2019-12-07T15:14:16.000,8.58,92.69,19.13
2019-12-07T15:14:26.000,8.57,92.66,19.13
2019-12-07T15:14:36.000,8.56,92.54,19.13
2019-12-07T15:14:46.000,8.55,92.44,19.13
2019-12-07T15:14:56.000,8.57,92.65,19.13
2019-12-07T15:15:06.000,8.56,92.54,19.15
2019-12-07T15:15:16.000,8.57,92.70,19.15
2019-12-07T15:15:26.000,8.57,92.66,19.15
2019-12-07T15:15:36.000,8.57,92.63,19.15
2019-12-07T15:15:46.000,8.56,92.58,19.15
2019-12-07T15:15:56.000,8.57,92.63,19.15
2019-12-07T15:16:06.000,8.56,92.57,19.15
2019-12-07T15:16:16.000,8.57,92.67,19.15
2019-12-07T15:16:26.000,8.57,92.68,19.17
