ISO 8601 Time,Temperature (C)
2019-06-23T13:20:00.000,18.6997
2019-06-23T13:21:00.000,19.1154
2019-06-23T13:22:00.000,19.6637
2019-06-23T13:23:00.000,19.4586
2019-06-23T13:24:00.000,19.1400
2019-06-23T13:25:00.000,18.8952
2019-06-23T13:26:00.000,18.7161
2019-06-23T13:27:00.000,18.5862
2019-06-23T13:28:00.000,18.4932
2019-06-23T13:29:00.000,18.4262
2019-06-23T13:30:00.000,18.3811
2019-06-23T13:31:00.000,18.3523
2019-06-23T13:32:00.000,18.3318
2019-06-23T13:33:00.000,18.3168
2019-06-23T13:34:00.000,18.3031
2019-06-23T13:35:00.000,18.2949
2019-06-23T13:36:00.000,18.2826
2019-06-23T13:37:00.000,18.2689
2019-06-23T13:38:00.000,18.2525
2019-06-23T13:39:00.000,18.2457
2019-06-23T13:40:00.000,18.2429
2019-06-23T13:41:00.000,18.2402
2019-06-23T13:42:00.000,18.2361
2019-06-23T13:43:00.000,18.2375
2019-06-23T13:44:00.000,18.2361
2019-06-23T13:45:00.000,18.2320
2019-06-23T13:46:00.000,18.2156
2019-06-23T13:47:00.000,18.1992
2019-06-23T13:48:00.000,18.1896
2019-06-23T13:49:00.000,18.1841
2019-06-23T13:50:00.000,18.1855
2019-06-23T13:51:00.000,18.1910
2019-06-23T13:52:00.000,18.1978
2019-06-23T13:53:00.000,18.2019
2019-06-23T13:54:00.000,18.2060
2019-06-23T13:55:00.000,18.2101
2019-06-23T13:56:00.000,18.2142
2019-06-23T13:57:00.000,18.2197
2019-06-23T13:58:00.000,18.2265
2019-06-23T13:59:00.000,18.2361
2019-06-23T14:00:00.000,18.2470
2019-06-23T14:01:00.000,18.2580
2019-06-23T14:02:00.000,18.2662
2019-06-23T14:03:00.000,18.2730
2019-06-23T14:04:00.000,18.2853
2019-06-23T14:05:00.000,18.3004
2019-06-23T14:06:00.000,18.3127
2019-06-23T14:07:00.000,18.3250
2019-06-23T14:08:00.000,18.3332
2019-06-23T14:09:00.000,18.3414
2019-06-23T14:10:00.000,18.3455
2019-06-23T14:11:00.000,18.3441
2019-06-23T14:12:00.000,18.3359
2019-06-23T14:13:00.000,18.3277
2019-06-23T14:14:00.000,18.3182
2019-06-23T14:15:00.000,18.3017
2019-06-23T14:16:00.000,18.2840
2019-06-23T14:17:00.000,18.2552
2019-06-23T14:18:00.000,18.2197
2019-06-23T14:19:00.000,18.1869
2019-06-23T14:20:00.000,18.1609
2019-06-23T14:21:00.000,18.1376
2019-06-23T14:22:00.000,18.1212
2019-06-23T14:23:00.000,18.1130
2019-06-23T14:24:00.000,18.1061
2019-06-23T14:25:00.000,18.1020
2019-06-23T14:26:00.000,18.0993
2019-06-23T14:27:00.000,18.1007
2019-06-23T14:28:00.000,18.1020
2019-06-23T14:29:00.000,18.1061
2019-06-23T14:30:00.000,18.1089
2019-06-23T14:31:00.000,18.1116
2019-06-23T14:32:00.000,18.1116
2019-06-23T14:33:00.000,18.1116
2019-06-23T14:34:00.000,18.1144
2019-06-23T14:35:00.000,18.1171
2019-06-23T14:36:00.000,18.1185
2019-06-23T14:37:00.000,18.1212
2019-06-23T14:38:00.000,18.1226
2019-06-23T14:39:00.000,18.1239
2019-06-23T14:40:00.000,18.1267
2019-06-23T14:41:00.000,18.1280
2019-06-23T14:42:00.000,18.1157
2019-06-23T14:43:00.000,18.0829
2019-06-23T14:44:00.000,18.0487
2019-06-23T14:45:00.000,18.0172
2019-06-23T14:46:00.000,17.9912
2019-06-23T14:47:00.000,17.9475
2019-06-23T14:48:00.000,17.8777
2019-06-23T14:49:00.000,17.8175
2019-06-23T14:50:00.000,17.7860
2019-06-23T14:51:00.000,17.7696
2019-06-23T14:52:00.000,17.7559
2019-06-23T14:53:00.000,17.7532
2019-06-23T14:54:00.000,17.7614
2019-06-23T14:55:00.000,17.7696
2019-06-23T14:56:00.000,17.7846
2019-06-23T14:57:00.000,17.8038
2019-06-23T14:58:00.000,17.8216
2019-06-23T14:59:00.000,17.8366
2019-06-23T15:00:00.000,17.8517
2019-06-23T15:01:00.000,17.8695
2019-06-23T15:02:00.000,17.8914
2019-06-23T15:03:00.000,17.9105
2019-06-23T15:04:00.000,17.9242
2019-06-23T15:05:00.000,17.9406
2019-06-23T15:06:00.000,17.9584
2019-06-23T15:07:00.000,17.9789
2019-06-23T15:08:00.000,18.0063
2019-06-23T15:09:00.000,18.0419
2019-06-23T15:10:00.000,18.0761
2019-06-23T15:11:00.000,18.1116
2019-06-23T15:12:00.000,18.1335
2019-06-23T15:13:00.000,18.1444
2019-06-23T15:14:00.000,18.1499
2019-06-23T15:15:00.000,18.1581
2019-06-23T15:16:00.000,18.1745
2019-06-23T15:17:00.000,18.1937
2019-06-23T15:18:00.000,18.2074
2019-06-23T15:19:00.000,18.2156
2019-06-23T15:20:00.000,18.2252
2019-06-23T15:21:00.000,18.2402
2019-06-23T15:22:00.000,18.2621
2019-06-23T15:23:00.000,18.2676
2019-06-23T15:24:00.000,18.2511
2019-06-23T15:25:00.000,18.2388
2019-06-23T15:26:00.000,18.2361
2019-06-23T15:27:00.000,18.2416
2019-06-23T15:28:00.000,18.2498
2019-06-23T15:29:00.000,18.2552
2019-06-23T15:30:00.000,18.2593
2019-06-23T15:31:00.000,18.2484
2019-06-23T15:32:00.000,18.2388
2019-06-23T15:33:00.000,18.2265
2019-06-23T15:34:00.000,18.2087
2019-06-23T15:35:00.000,18.1910
2019-06-23T15:36:00.000,18.1773
2019-06-23T15:37:00.000,18.1704
2019-06-23T15:38:00.000,18.1650
2019-06-23T15:39:00.000,18.1595
2019-06-23T15:40:00.000,18.1595
2019-06-23T15:41:00.000,18.1704
2019-06-23T15:42:00.000,18.1800
2019-06-23T15:43:00.000,18.1896
2019-06-23T15:44:00.000,18.1937
2019-06-23T15:45:00.000,18.1937
2019-06-23T15:46:00.000,18.1910
2019-06-23T15:47:00.000,18.1841
2019-06-23T15:48:00.000,18.1786
2019-06-23T15:49:00.000,18.1732
2019-06-23T15:50:00.000,18.1704
2019-06-23T15:51:00.000,18.1745
2019-06-23T15:52:00.000,18.1800
2019-06-23T15:53:00.000,18.1855
2019-06-23T15:54:00.000,18.1869
2019-06-23T15:55:00.000,18.1869
2019-06-23T15:56:00.000,18.1841
2019-06-23T15:57:00.000,18.1800
2019-06-23T15:58:00.000,18.1759
2019-06-23T15:59:00.000,18.1691
2019-06-23T16:00:00.000,18.1650
2019-06-23T16:01:00.000,18.1609
2019-06-23T16:02:00.000,18.1581
2019-06-23T16:03:00.000,18.1554
2019-06-23T16:04:00.000,18.1527
